class,student_id,midterm
Class2,20206084,91
Class2,20209003,95
Class2,20203515,74
Class2,20208560,71
Class2,20206179,93
Class2,20208625,98
Class2,20208748,89
Class2,20205910,75
Class2,20205671,86
Class2,20203309,87
Class2,20204362,91
Class2,20203834,71
Class2,20204915,73
Class2,20204613,94
Class2,20207404,74
Class2,20208735,79
Class2,20208589,81
Class2,20201976,72
Class2,20201337,74
Class2,20205489,91
Class2,20209774,74
Class2,20202570,100
Class2,20205900,71
Class2,20201919,96
Class2,20207829,88
Class2,20209700,76
Class2,20204353,73
Class2,20202728,75
Class2,20203410,84
Class2,20205179,87
Class2,20208961,94
Class2,20209833,101
Class2,20205089,80
Class2,20200258,84
Class2,20200593,77
Class2,20206716,72
Class2,20207095,81
Class2,20202208,99
Class2,20201492,86
Class2,20208864,72
Class2,20202487,79
Class2,20204636,96
Class2,20209314,86
Class2,20209159,79
Class2,20206697,70
Class2,20203633,95
Class2,20200618,78
Class2,20202893,84
Class2,20203054,81
Class2,20204498,93
Class2,20200733,81
