date,rain,temp
2010-01-01,1.0,-7.030367455757068
2010-01-02,2.8,-4.201837888526578
2010-01-05,2.7,-5.171530481066419
2010-01-06,4.3,-5.303675082919314
2010-01-07,1.0,-11.51111123648397
2010-01-08,3.0,-8.293354073920261
2010-01-09,1.1,-7.968653910325418
2010-01-10,4.0,1.0169791949620015
2010-01-11,1.0,-1.2342235053411295
2010-01-12,1.4,-1.6634766092330748
2010-01-13,1.7,-11.220178221301273
2010-01-14,0.1,-10.579513379731441
2010-01-15,4.1,-5.2087452887802765
2010-01-16,3.0,-4.252504000046338
2010-01-17,2.0,-4.8684648706548685
2010-01-18,4.0,1.3214331735602243
2010-01-19,0.3,3.687017507145207
2010-01-20,12.8,7.294116870124723
2010-01-21,4.1,1.2875818866768372
2010-01-22,1.0,-4.104834574803627
2010-01-23,4.1,0.31455605724199653
2010-01-24,1.0,-1.7070555782128491
2010-01-31,2.0,4.4313871979380774
